Address,City,Pin Code,Country ,Contact,website,sector,industry,employee,ceo,chairman & MD,director,description
"Ahura Centre 4th Floor 82 Mahakali Caves Road MIDC, Andheri East",Mumbai,400093,India,91 22 6240 7101,http://www.tatamotors.com,Consumer,Cyclical Auto Manufacturers,,Mr. Guenter Butschek,,Mr. Guenter Butschek,
"Bombay House 24, Homi Mody Street Fort",Mumbai,400001,India,91 22 6665 8282,http://www.tatasteel.com,Basic,Materials Steel,"65,000",Mr. Thachat Viswanath Narendran,Mr. Thachat Viswanath Narendran,Mr. Thachat Viswanath Narendran,
"Plot No. 1, Phase IIIRajiv Gandhi Infotech Park Hinjewadi",Pune,411057,India,91 20 4225 0000,http://www.techmahindra.com,Technology,Information Technology Services,"1,30,839",Mr. Chander Prakash Gurnani,Mr. Chander Prakash Gurnani,Mr. Chander Prakash Gurnani,
Integrity No. 193 Veerasandra Electronics City P.O. Off Hosur Main Road,Bengaluru,560100,India,91 80 6704 7000,http://www.titan.co.in,Consumer,Cyclical Luxury Goods,,,Mr. C. K. Venkataraman,,
"UPL House, 610 B/2 Bandra Village Off Western Express Highway Bandra (East)",Mumbai,400051,India,91 22 7152 8000,http://www.uplonline.com,Basic Materials,Agricultural Inputs,"11,411",Mr. Jaidev Rajnikant Shroff,Mr. Rajnikant Devidas Shroff,,
"Ahura Centre ""B"" Wing, 2nd floor Mahakali Caves Road Andheri (East)",Mumbai,400093,India,91 22 6691 7800,http://www.ultratechcement.com,Basic Materials,Building Materials,"19,557",,Mr. Kailash Chandra Jhanwar,,
"Unit 103, Corporate Avenue1st Floor, C wing Atul Projects, Chakala Andheri (East)",Mumbai,400093,India,91 22 6643 4500,http://www.vedantalimited.com,Basic Materials,Other Industrial Metals & Mining,"76,000",Mr. Srinivasan Venkatakrishnan,Mr. Navin Kumar Agarwal,,
Doddakannelli Sarjapur Road,Bengaluru,560035,India,91 80 2844 0011,http://www.wipro.com,Technology,Information Technology Services,"1,87,318",Mr. Abidali Z. Neemuchwala,Mr. Abidali Z. Neemuchwala,,
"Yes Bank Tower, IFC - 2 15th Floor Senapati Bapat Marg Elphinstone (West)"23:18 28-03-2020,Mumbai,400013,India,91 22 3366 9000,http://www.yesbank.in, Financial Services, Banks—Regional,"21,136",Mr. Prashant Kumar,Mr. Prashant Kumar,Mr. Prashant Kumar
"Marathon Futurex 18th Floor, A Wing N M Joshi Marg Lower Parel ",Mumbai,400013,India,91 22 710 61234,http://www.zeeentertainment.com,Communication,Services Broadcasting,,Mr. Punit Goenka,Mr. Punit Goenka,Mr. Punit Goenka,
