Date,High,Low,Open,Close,Volume,Adj Close
2012-01-02,329.6470031738281,316.40399169921875,321.92999267578125,324.9779968261719,4036645.0,266.1942138671875
2012-01-03,346.6059875488281,327.9320068359375,328.6940002441406,344.74798583984375,6112022.0,282.3880615234375
2012-01-04,350.1310119628906,339.4599914550781,346.7959899902344,346.7489929199219,5721689.0,284.02716064453125
2012-01-05,353.9419860839844,342.41400146484375,347.7489929199219,345.4620056152344,4381465.0,282.97296142578125
2012-01-06,350.4169921875,333.64801025390625,342.0320129394531,346.4630126953125,4779048.0,283.7928771972656
2012-01-09,348.510986328125,337.7929992675781,345.36700439453125,344.6520080566406,4050399.0,282.3094482421875
2012-01-10,355.75201416015625,344.12799072265625,344.12799072265625,354.17999267578125,5477688.0,290.1139831542969
2012-01-11,366.23199462890625,353.7510070800781,355.989990234375,364.89801025390625,5900603.0,298.8932800292969
2012-01-12,373.9490051269531,362.802001953125,364.89801025390625,370.47198486328125,5084045.0,303.458984375
2012-01-13,404.8179931640625,373.37799072265625,373.4729919433594,396.0530090332031,12775944.0,324.41278076171875
2012-01-16,409.1050109863281,388.9070129394531,393.0039978027344,401.8169860839844,8343194.0,329.1341247558594
2012-01-17,427.2070007324219,403.05499267578125,403.4840087890625,421.8240051269531,8611453.0,345.5221252441406
2012-01-18,424.0150146484375,401.4360046386719,422.6340026855469,404.8179931640625,7637439.0,331.5923156738281
2012-01-19,421.0140075683594,409.677001953125,409.677001953125,415.25,6862657.0,340.1372985839844
2012-01-20,423.4909973144531,410.15301513671875,417.29901123046875,415.9169921875,6204773.0,340.68359375
2012-01-23,417.2510070800781,403.1029968261719,414.44000244140625,406.3900146484375,4733688.0,332.87994384765625
2012-01-24,419.2040100097656,401.7690124511719,407.77099609375,411.9159851074219,6088950.0,337.4063415527344
2012-01-25,425.77801513671875,413.4880065917969,414.44000244140625,423.82501220703125,7740148.0,347.1612243652344
2012-01-27,440.7359924316406,426.3500061035156,428.7309875488281,437.0679931640625,6067589.0,358.0086975097656
2012-01-30,434.8290100097656,416.34600830078125,434.447998046875,421.3949890136719,4881121.0,345.17071533203125
2012-01-31,432.01800537109375,411.677001953125,423.7770080566406,429.4939880371094,6931145.0,351.8048095703125
2012-02-01,451.59698486328125,429.5409851074219,430.6369934082031,448.6910095214844,8615697.0,367.5293273925781
2012-02-02,458.07598876953125,442.3559875488281,453.50299072265625,453.4070129394531,8389304.0,371.39227294921875
2012-02-03,451.59698486328125,438.4490051269531,451.59698486328125,445.40399169921875,6177826.0,364.8368835449219
2012-02-06,455.4079895019531,441.1650085449219,452.2640075683594,445.1659851074219,5480794.0,364.6419372558594
2012-02-07,449.6919860839844,428.0169982910156,447.7860107421875,430.01800537109375,7865320.0,352.2339782714844
2012-02-08,439.9739990234375,421.4429931640625,432.5419921875,429.35101318359375,10056403.0,351.6876220703125
2012-02-09,432.8760070800781,419.2040100097656,426.7309875488281,430.7799987792969,9788589.0,352.85809326171875
2012-02-10,455.78900146484375,412.15399169921875,413.4880065917969,452.5979919433594,21966120.0,370.7295837402344
2012-02-13,465.7449951171875,444.4519958496094,453.50299072265625,462.26800537109375,6840908.0,378.65045166015625
2012-02-14,468.5559997558594,458.6000061035156,460.1719970703125,464.88800048828125,6502657.0,380.7965087890625
2012-02-15,473.2720031738281,463.9830017089844,467.79400634765625,471.74798583984375,6792252.0,386.4156494140625
2012-02-16,469.8900146484375,452.21600341796875,468.4129943847656,456.45599365234375,5659343.0,373.8897399902344
2012-02-17,465.88800048828125,448.26300048828125,461.125,455.4079895019531,6017720.0,373.03131103515625
2012-02-21,477.27301025390625,457.5039978027344,457.5039978027344,468.2699890136719,8034746.0,383.5667724609375
